businessid,name,address,city,state,zip
10763,Sidewinder Subs,1455 W Elliott Rd Ste 103,Gilbert,AZ,85233
10764,Saffron Indian Cuisine  Charlotte,2135  B Ayrsley Town Blvd,Charlotte,NC,28273
10765,Tony s Famous New York Pizza,1904 S Patrick Dr,Satellite Beach,FL,32937
10766,Estrellita Mexican Bistro and Cantina,971 N San Antonio Rd,Los Altos,CA,94022
10767,Veggie Lee,25036 Hesperian Blvd,Hayward,CA,94545
10768,Erik s Delicafe,2 N Market St Ste 105,San Jose,CA,95113
10769,The Restaurant Westover Golf Club,401 South Schuykill Ave,Norristown,PA,19403
10770,Chicken Coop Colombian Restaurant,159 Rockaway Ave,Valley Stream,NY,11580
10771,Taste of India,498 University Blvd,Harrisonburg,VA,22801
10772,Thanh Thanh 3,9 Simon St,Nashua,NH,3060
10773,Try It Raw,213 E Maple Rd,Birmingham,MI,48009
10774,Cinco De Mayo,2428 Lemoine Ave,Fort Lee,NJ,7024
10775,Persis Indian Grill,3800 Quakerbridge Rd,Trenton,NJ,8619
10776,Helen Asian Kitchen,1070 E Dublin Granville Rd,Columbus,OH,43229
10778,Rocco s Cucina  Bar,450 Commercial St,Boston,MA,2109
10779,Bushnell Craft,8461 164th Ave Ne,Redmond,WA,98052
10780,Gumbas Italian Restaurant,176 S Murphy Ave,Sunnyvale,CA,94086
10781,Shami Restaurant,16490 E 14th St,San Leandro,CA,94578
10782,Thai Recipe Cuisine,1715 Lundy Ave Ste 180,San Jose,CA,95131
10783,Piccola Italia,815 Elm St,Manchester,NH,3101
10784,Giulianos Italian Restaurant,1923 Cordova Rd,Fort Lauderdale,FL,33316
10785,Christine Lees,901 S Federal Hwy,Hallandale,FL,33009
10786,The Tea Corner Cafe at Oxford Hall,233 Bridge Street,New Cumberland,PA,17070
10787,Dosha Ayurveda Cafe  Juice Bar,139 NE 1st Ave,Hallandale,FL,33009
10788,Jade Bistro Asian Cuisine,6139 Park Boulevard,Pinellas Park,FL,33781
10789,Sakana of Tokyo,5252 E 82nd St,Indianapolis,IN,46250
10790,China Cafe,2408 A Spring Garden Street,Greensboro,NC,27403
10791,Angora Cafe,1024 Commonwealth Ave,Boston,MA,2215
10794,Latin Bites,419 E 70Th St,New York,NY,10021
10795,La Piazza Italian Restaurant and Pizzeria,2330 N Wickham Rd Ste15,Melbourne,FL,32935
10796,Bonfires Bar  Grill,1340 Alafaya Trl,Oviedo,FL,32765
10797,Hang Ten Boiler Alameda,2306A Encinal Avenue,Alameda,CA,94501
10798,Hang Ten Boiler Hayward,303 Southland Mall,Hayward,CA,94545
10799,Raphaels Shutter Cafe,10064 San Pablo Ave,El Cerrito,CA,94530
10800,Red Tomato Pizza House,2017 University Ave,Berkeley,CA,94704
10801,Good Fortune Cafe,237 A Kentlands Boulevard,Gaithersburg,MD,20878
10802,Countryside Cafe,28050 US 19 North Suite 104,Clearwater,FL,33761
10803,Ted s Bar  Grill,7300 Allentown Blvd,Harrisburg,PA,17112
10804,Laura s Cuban Cuisine,2723 Hollywood Blvd,Hollywood,FL,33020
10805,The Boarding,813 East Las Olas Blvd,Fort Lauderdale,FL,33301
10806,Lique Miami,3957 NE 163rd St,North Miami Beach,FL,33160
10807,Tacos Flacos  Cantina,35114 US Hwy 19 North,Palm Harbor,FL,34684
10808,Lettuce  Tomato,17010 W Dixie Hwy,North Miami Beach,FL,33160
10809,Sansushito,121 N 20th Ave,Hollywood,FL,33020
10810,Fish s Wild  Redwood City,855 Middlefield Rd,Redwood City,CA,94063
10811,K60 Japanese Steak House Green Tea Japanese Restaurant,2811 Middle Country Rd,Lake Grove,NY,11755
10812,Mango Tree Thai Bistro,914 Main St,Houston,TX,77002
10813,Carmello s,400 Twenty Ninth Pl Ct,Charlottesville,VA,22901
10814,Smile Crepes and Ice Cream,3803 Main,Flushing,NY,11354
10815,Love to Go,307 S Mission Dr,San Gabriel,CA,91776
10816,Twinkle Lighting Inc ,131 14 40RD,Flushing,NY,11354
10817,China Pot King,1558 New Ave,San Gabriel,CA,91776
10818,Fainting Goat Gelato  Fremont Ave,3415 Fremont Ave,Seattle,WA,98103
10819,Fainting Goat Gelato,1903 N 45Th St,Seattle,WA,98103
10820,Fujo,301 S College St Ste 100,Charlotte,NC,28202
10821,Bella Luna,14175 W Indian School Rd Ste A4,Goodyear,AZ,85395
10822,Fired Up Coal Oven Pizzeria,195 Malabar Rd Nw,Palm Bay,FL,32907
10823,Red Pepper Pizza,368 MacArthur Blvd,San Leandro,CA,94577
10824,Azit Pub,4390 Telegraph Ave Ste A,Oakland,CA,94609
10825,Sheba Dining Ethiopian Fusion,371 13th St,Oakland,CA,94612
10826,Yoshio Sushi,10889 San Pablo Ave,El Cerrito,CA,94530
10827,Wine and Waffles,1505 Park St,Alameda,CA,94501
10828,Crescent Cuisine,833 W El Camino Real,Sunnyvale,CA,94087
10829,Penuche s Manchester,96 Hanover St,Manchester,NH,3101
10830,1989RI,190 Thames St,Newport,RI,2840
10831,Cedar Cliff Pizza,1055 Carlisle Road,Camp Hill,PA,17011
10832,Scotty s Big Dawgs Restaurant and Pub,823 West Main Rd,Middletown,RI,2842
10833,Pork Belly Cafe,7009 Lenox Village Dr Suite 109,Nashville,TN,37211
10834,Pakiza Halal Restaurant Himchuli Restaurant,201 Main St,Pleasanton,CA,94566
10835,Baja Fresh Mexican Grill,518 S Brookhurst St Suite 5,Anaheim,CA,92804
10836,Thida Thai,721 President Pl,Smyrna,TN,37167
10837,Farfalle,333 SE 2nd St,Miami,FL,33131
10838,Sakura  Bichara Blvd,1104 Bichara Blvd,Lady Lake,FL,32159
10839,Sakura  Colony Blvd,265 Colony Blvd,The Villages,FL,32162
10840,Sarahs Kabob Shop,5553 West Market St,Greensboro,NC,27409
10841,Ke Lai Qin,133 35 Roosevelt Ave,Flushing,NY,11354
10842,XIANG WEI XUAN,6000 Spring Mountain RD  2B,Las Vegas,NV,89146
10843,Due Amici,3100 Alafaya Trail,Oviedo,FL,32765
10844,Over the Moon Creamery  Embarcadero,Embarcadero 4,San Francisco,CA,94111
10845,Over the Moon Creamery  Chestnut,2144 Chestnut St,San Francisco,CA,94109
10847,Beantown Taqueria,245 Massachusetts Ave,Cambridge,MA,2139
10848,Tropical Cabana Restaurant,1875 Central Florida Pkwy,Orlando,FL,32837
10849,Cone Zone,2040 State Route 33,Neptune,NJ,7753
10850,Mmm Coffee,910 Sante Fe Dr Studio 6,Denver,CO,80204
10851,Brooklyn South Pizzeria,19400 Jetton Rd  201,Cornelius,NC,28031
10852,Angelinas Trattoria,1092 Post Rd E,Westport,CT,6880
10853,Kristophers Sports Bar,250 N Trade St,Matthews,NC,28105
10854,The Peppy Bistro,2611 Edgewater Dr,Orlando,FL,32804
10855,Mainstreet Pub,705 E New Haven Ave,Melbourne,FL,32901
10856,Gio s BBQ Bar and Grill,4857 N Damen Ave,Chicago,IL,60630
10857,The Pizza Shop Enola,299 W Shady Lane,Enola,PA,17025
10858,Upper Dublin Bagel Squad,1650 Limeklin Pike Unit B 19,Dresher,PA,19025
10859,Passage Irish Bar and Kitchen,40 11 30th Ave,Astoria,NY,11103
10860,Skinny s Pizzeria,168 Armory St,Manchester,NH,3102
10861,Humpty s Dumplings,277 N Keswick ave,Glenside,PA,19038
